title,price_sgd,original_price,condition,seller,rating,url
iPhone 14 Pro Max 256GB Deep Purple,780,1249,Like new,apple_reseller_sg,4.9,https://shopee.sg/product/1
Samsung Galaxy S23 256GB,680,1050,Like new,tech_store_sg,4.8,https://shopee.sg/product/2
Apple Watch Series 9 45mm,499,649,Like new,watch_zone,4.7,https://shopee.sg/product/3
Dyson Airwrap Complete,699,899,Brand new,beauty_sg,4.6,https://shopee.sg/product/4
AirPods Pro 2 (USB-C),299,379,Brand new,audio_hub,4.8,https://shopee.sg/product/5
iPad Air 5 64GB WiFi,799,999,Like new,apple_reseller_sg,4.9,https://shopee.sg/product/6
Nintendo Switch OLED White,459,529,Brand new,game_king,4.8,https://shopee.sg/product/7
Logitech G Pro X Superlight,179,229,Brand new,esports_sg,4.7,https://shopee.sg/product/8
Sony WH-1000XM4,379,499,Like new,audio_hub,4.8,https://shopee.sg/product/9
iPhone 15 128GB Black,1150,1249,Brand new,apple_reseller_sg,4.9,https://shopee.sg/product/10
