title,price_sgd,rating,reviews,prime,availability,url
Apple iPhone 15 128GB,1249,4.8,3200,Yes,In Stock,https://www.amazon.sg/dp/B0CHX1W1XY
Samsung Galaxy S24 Ultra 512GB,1798,4.7,2100,Yes,In Stock,https://www.amazon.sg/dp/B0CMDRCZBX
Sony WH-1000XM5 Headphones,499,4.8,5400,Yes,In Stock,https://www.amazon.sg/dp/B09XS7JWHH
Dyson V15 Detect Vacuum,1099,4.6,1800,No,In Stock,https://www.amazon.sg/dp/B0B4QYB6WY
Logitech MX Master 3S Mouse,189,4.8,4100,Yes,In Stock,https://www.amazon.sg/dp/B09HM94VDS
Nintendo Switch OLED,499,4.9,8900,Yes,In Stock,https://www.amazon.sg/dp/B09J7TMLZX
AirPods Pro 2nd Gen,339,4.8,12200,Yes,In Stock,https://www.amazon.sg/dp/B0BDHWDR12
Instant Pot Duo 7-in-1,159,4.7,1500,Yes,In Stock,https://www.amazon.sg/dp/B00FLYWNYQ
Samsung 65\" Neo QLED TV,2999,4.6,750,No,In Stock,https://www.amazon.sg/dp/B0CRGQ7K8M
LEGO Star Wars Millennium Falcon,949,4.9,2100,Yes,In Stock,https://www.amazon.sg/dp/B0BNM9TN6G
