name,price,rating,merchant,location,delivery_time,url
Nasi Lemak Set (Ayam Berempah),6.90,4.6,The Nasi Lemak Shop,Ang Mo Kio,25 min,https://food.grab.com/sg/en/restaurant/1
Char Kway Teow,5.50,4.5,Hawker Legends,Tampines,20 min,https://food.grab.com/sg/en/restaurant/2
Hainanese Chicken Rice,7.50,4.7,Boon Tong Kee,Balestier,30 min,https://food.grab.com/sg/en/restaurant/3
Laksa (Premium),8.90,4.6,328 Katong Laksa,Katong,35 min,https://food.grab.com/sg/en/restaurant/4
Fish Soup,6.20,4.4,Ah Or Seafood Soup,Toa Payoh,25 min,https://food.grab.com/sg/en/restaurant/5
Bak Chor Mee,5.80,4.5,Hill Street Tai Hwa Pork Noodle,Lavender,30 min,https://food.grab.com/sg/en/restaurant/6
Satay (10 sticks),8.00,4.6,Chomp Chomp Satay,Serangoon Gardens,40 min,https://food.grab.com/sg/en/restaurant/7
Roti Prata,4.00,4.5,Springleaf Prata Place,Springleaf,20 min,https://food.grab.com/sg/en/restaurant/8
Mee Goreng,5.90,4.4,Al-Ameen Eating Corner,Changi,25 min,https://food.grab.com/sg/en/restaurant/9
Oyster Omelette,7.00,4.3,Newton Food Centre,Newton,30 min,https://food.grab.com/sg/en/restaurant/10
