name,category,rating,reviews,address,phone,website,url
Old Town Kopitiam,Coffee Shop,4.4,820,Bedok North Street 3,+65 6445 1234,,https://www.google.com/maps/place/1
Changi Village Hawker Centre,Hawker Centre,4.3,1500,Changi Village Road,,,https://www.google.com/maps/place/2
East Coast Lagoon Food Village,Hawker Centre,4.2,2300,Marine Parade,,,https://www.google.com/maps/place/3
Tampines Mall,Shopping Mall,4.3,3100,Tampines Avenue 4,,,https://www.google.com/maps/place/4
Pasir Ris Park,Public Park,4.6,5400,Pasir Ris,,,https://www.google.com/maps/place/5
Bedok Mall,Shopping Mall,4.2,2800,Bedok North Street 1,,,https://www.google.com/maps/place/6
Siglap Central,Food Court,4.1,640,Siglap Road,,,https://www.google.com/maps/place/7
East Coast Park,Park,4.7,7800,East Coast Park Service Road,,,https://www.google.com/maps/place/8
Parkway Parade,Shopping Mall,4.3,3600,Marine Parade Central,,,https://www.google.com/maps/place/9
Katong Square,Shopping Centre,4.0,410,Katong,,,https://www.google.com/maps/place/10
