listing_id,price,price_psf,title,address,bedrooms,bathrooms,area_sqft,property_type,tenure,built_year,mrt_info,listed_date,agent_name,agency_name,url
500180939,"620,000",619.38,479B Yishun Street 42,479B Yishun Street 42,,,"1,001",HDB Flat,99-year Leasehold,2021,,"Jul 23, 2026 (2m ago)",Jas Ng,ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/hdb-for-sale-479b-yishun-street-42-500180939
500209780,"4,980,000","2,855.50",Leedon Green,28 Leedon Heights,,,"1,744",Condominium,Freehold,2024,8 min (630 m) from CC20 Farrer Road MRT Station,"Jul 23, 2026 (4m ago)",Seth Chung,ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-leedon-green-500209780
500211967,"1,390,000","1,556.55",High Park Residences,23 Fernvale Road,,,893,Condominium,99-year Leasehold,2019,5 min (450 m) from SW4 Thanggam LRT Station,"Jul 23, 2026 (7m ago)",Jemaine Ng,PROPNEX REALTY PTE. LTD.,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-high-park-residences-500211967
500183300,"2,090,000","1,358.02",Hedges Park Condominium,71 Flora Drive,,,"1,539",Condominium,99-year Leasehold,2015,,"Jul 23, 2026 (7m ago)",Chester Chong,ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-hedges-park-condominium-500183300
500089830,"1,490,000","1,488.51",Astoria Park,28 Lorong Mydin,,,"1,001",Condominium,99-year Leasehold,1995,2 min (130 m) from EW6 Kembangan MRT Station,"Jul 23, 2026 (7m ago)",Chester Chong,ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-astoria-park-500089830
500121244,"699,888",541.71,469 Choa Chu Kang Avenue 3,469 Choa Chu Kang Avenue 3,,,"1,292",HDB Flat,99-year Leasehold,1997,12 min (1.02 km) from BP2 South View LRT Station,"Jul 23, 2026 (9m ago)",Nic Tan,ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/hdb-for-sale-469-choa-chu-kang-avenue-3-500121244
21485537,"3,199,000","2,268.79",10 Evelyn,10 Evelyn Road,,,"1,410",Condominium,Freehold,2022,7 min (590 m) from NS21 Newton MRT Station,"Jul 23, 2026 (9m ago)",Adrian Chay,ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-10-evelyn-21485537
24362159,"4,958,000","2,617.74",Terra Hill,22 Yew Siang Road,,,"1,894",Condominium,Freehold,,9 min (790 m) from CC26 Pasir Panjang MRT Station,"Jul 23, 2026 (13m ago)",Wong Lay Cheng (黄丽清),ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-terra-hill-24362159
500050645,"1,890,000","1,488.19",The Jovell,19 Flora Drive,,,"1,270",Condominium,99-year Leasehold,2022,,"Jul 23, 2026 (22m ago)",Michelle Yap,PROPNEX REALTY PTE. LTD.,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-the-jovell-500050645
500131573,"998,000",997.00,93B Telok Blangah Street 31,93B Telok Blangah Street 31,,,"1,001",HDB Flat,99-year Leasehold,2018,10 min (860 m) from CC27 Labrador Park MRT Station,"Jul 23, 2026 (41m ago)",Ken Chen,PROPNEX REALTY PTE. LTD.,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/hdb-for-sale-93b-telok-blangah-street-31-500131573
500054363,"699,999",707.07,470B Upper Serangoon Crescent,470B Upper Serangoon Crescent,,,990,HDB Flat,99-year Leasehold,2014,15 min (1.25 km) from SE4 Kangkar LRT Station,"Jul 23, 2026 (52m ago)",Alex Goh,ORANGETEE &amp; TIE PTE. LTD.,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/hdb-for-sale-470b-upper-serangoon-crescent-500054363
500154263,"7,000,000","2,121.21",Jalan Anggerek D13 Freehold Corner Terrace With Lift &amp; Pool,"Jalan Anggerek, Macpherson Road, Aljunied Road",,,"5,335",Corner Terrace,Freehold,,8 min (660 m) from CC11 Tai Seng MRT Station,"Jul 23, 2026 (52m ago)",Alex Goh,ORANGETEE &amp; TIE PTE. LTD.,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-jalan-anggerek-d13-freehold-corner-terrace-with-lift-pool-500154263
500165284,"500,000",725.69,105 Bishan Street 12,105 Bishan Street 12,,,689,HDB Flat,99-year Leasehold,1985,8 min (680 m) from NS17 Bishan MRT Station,"Jul 23, 2026 (54m ago)",J.A. Goh 吴永益,ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/hdb-for-sale-105-bishan-street-12-500165284
25522259,"10,000,000","2,662.41",St. Regis Residences Singapore,31 Tanglin Road,,,"3,756",Condominium,999-year Leasehold,2008,7 min (610 m) from TE13 Orchard Boulevard MRT Station,"Jul 23, 2026 (57m ago)",Goh Kiang Leng,ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-st-regis-residences-singapore-25522259
500062462,"750,000","1,450.68",Palm Isles,40 Flora Drive,,,517,Condominium,99-year Leasehold,2015,21 min (1.75 km) from DT33 Tampines East MRT Station,"Jul 23, 2026 (57m ago)",Marcus Lim,HUTTONS ASIA PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-palm-isles-500062462
500178951,"1,770,000","1,695.40",Signature Park,50A Toh Tuck Road,,,"1,044",Condominium,Freehold,1998,16 min (1.3 km) from DT5 Beauty World MRT Station,"Jul 23, 2026 (1h ago)",Ng Gek Chong (黄岳聪),PROPNEX REALTY PTE. LTD.,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-signature-park-500178951
500069824,"1,885,000","2,614.42",Blossoms By The Park,9 Slim Barracks Rise,,,721,Condominium,99-year Leasehold,,5 min (430 m) from EW21 Buona Vista MRT Station,"Jul 23, 2026 (1h ago)",Matthias So,PROPNEX REALTY PTE. LTD.,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-blossoms-by-the-park-500069824
500172438,"7,350,000","2,787.26",The Draycott,50 Draycott Park,,,"2,637",Condominium,Freehold,1980,13 min (1.09 km) from NS22 Orchard MRT Station,"Jul 23, 2026 (1h ago)",Pat Grennan,AVANT GARDE REALTY PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-the-draycott-500172438
24727208,"1,880,000","2,054.64",Normanton Park,59 Normanton Park,,,915,Condominium,99-year Leasehold,2023,,"Jul 23, 2026 (1h ago)",Jaeson Lin 林暉盛,PROPNEX REALTY PTE. LTD.,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-normanton-park-24727208
500103407,"5,488,880","1,523.00",Freehold Semi Detached near Simpang Bedok,,,,"4,000",Semi-Detached House,Freehold,,18 min (1.48 km) from EW4 Tanah Merah MRT Station,"Jul 23, 2026 (1h ago)",Eric Woo,ERA REALTY NETWORK PTE LTD,https://www.propertyguru.com.sghttps://www.propertyguru.com.sg/listing/for-sale-freehold-semi-detached-near-simpang-bedok-500103407
